,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
616,"frozenset({'NA', 'Seatbelt', 'Unscathed', 'Unknown'})",frozenset({'Yes'}),0.3348113044450998,0.7927964727564049,0.3348113044450998,1.0,1.261357781428047,0.06937408324205385,inf
617,"frozenset({'NA', 'Seatbelt', 'Unscathed', 'Yes'})",frozenset({'Unknown'}),0.3348113044450998,0.9999898304740016,0.3348113044450998,1.0,1.0000101696294188,3.4048722651336405e-06,inf
618,"frozenset({'NA', 'Seatbelt', 'Yes', 'Unknown'})",frozenset({'Unscathed'}),0.5878511452581195,0.429886203004078,0.3348113044450998,0.5695511646882776,1.3248882162493472,0.08210220767848808,1.324463560420734
619,"frozenset({'NA', 'Yes', 'Unscathed', 'Unknown'})",frozenset({'Seatbelt'}),0.3561565745420606,0.5878511452581195,0.3348113044450998,0.9400677353088143,1.5991594860226732,0.12544425420934066,6.876911073952715
620,"frozenset({'Yes', 'Seatbelt', 'Unscathed', 'Unknown'})",frozenset({'NA'}),0.3348113044450998,0.9687609110539358,0.3348113044450998,1.0,1.0322464383003218,0.010459200119708245,inf
621,"frozenset({'NA', 'Seatbelt', 'Unscathed'})","frozenset({'Yes', 'Unknown'})",0.3348113044450998,0.7927863032304064,0.3348113044450998,1.0,1.2613739615899637,0.06937748811431899,inf
622,"frozenset({'NA', 'Seatbelt', 'Unknown'})","frozenset({'Yes', 'Unscathed'})",0.5878511452581195,0.35615770448939377,0.3348113044450998,0.5695511646882776,1.5991544125230024,0.1254435899685068,1.4957463993237399
623,"frozenset({'NA', 'Seatbelt', 'Yes'})","frozenset({'Unscathed', 'Unknown'})",0.5878511452581195,0.4298856380304114,0.3348113044450998,0.5695511646882776,1.3248899574727961,0.08210253979890503,1.324464872942967
624,"frozenset({'NA', 'Unscathed', 'Unknown'})","frozenset({'Seatbelt', 'Yes'})",0.42932235928483375,0.5878511452581195,0.3348113044450998,0.7798599285693606,1.3266282371992861,0.08243366385459244,1.872211869758288
625,"frozenset({'NA', 'Unscathed', 'Yes'})","frozenset({'Seatbelt', 'Unknown'})",0.3561565745420606,0.5878511452581195,0.3348113044450998,0.9400677353088143,1.5991594860226732,0.12544425420934066,6.876911073952715
